,Date,CRWD,DDOG,SNOW,SOFI,UPST,^GSPC
110,2018-05-11,0.0,0.0,0.0,0.0,0.0,2727.719970703125
111,2018-05-14,0.0,0.0,0.0,0.0,0.0,2730.1298828125
112,2018-05-15,0.0,0.0,0.0,0.0,0.0,2711.449951171875
113,2018-05-16,0.0,0.0,0.0,0.0,0.0,2722.4599609375
114,2018-05-17,0.0,0.0,0.0,0.0,0.0,2720.1298828125
115,2018-05-18,0.0,0.0,0.0,0.0,0.0,2712.969970703125
116,2018-05-21,0.0,0.0,0.0,0.0,0.0,2733.010009765625
117,2018-05-22,0.0,0.0,0.0,0.0,0.0,2724.43994140625
118,2018-05-23,0.0,0.0,0.0,0.0,0.0,2733.2900390625
119,2018-05-24,0.0,0.0,0.0,0.0,0.0,2727.760009765625
120,2018-05-25,0.0,0.0,0.0,0.0,0.0,2721.330078125
121,2018-05-29,0.0,0.0,0.0,0.0,0.0,2689.860107421875
122,2018-05-30,0.0,0.0,0.0,0.0,0.0,2724.010009765625
123,2018-05-31,0.0,0.0,0.0,0.0,0.0,2705.27001953125
124,2018-06-01,0.0,0.0,0.0,0.0,0.0,2734.6201171875
125,2018-06-04,0.0,0.0,0.0,0.0,0.0,2746.8701171875
126,2018-06-05,0.0,0.0,0.0,0.0,0.0,2748.800048828125
127,2018-06-06,0.0,0.0,0.0,0.0,0.0,2772.35009765625
128,2018-06-07,0.0,0.0,0.0,0.0,0.0,2770.3701171875
129,2018-06-08,0.0,0.0,0.0,0.0,0.0,2779.030029296875
130,2018-06-11,0.0,0.0,0.0,0.0,0.0,2782.0
131,2018-06-12,0.0,0.0,0.0,0.0,0.0,2786.85009765625
132,2018-06-13,0.0,0.0,0.0,0.0,0.0,2775.6298828125
133,2018-06-14,0.0,0.0,0.0,0.0,0.0,2782.489990234375
134,2018-06-15,0.0,0.0,0.0,0.0,0.0,2779.659912109375
135,2018-06-18,0.0,0.0,0.0,0.0,0.0,2773.75
136,2018-06-19,0.0,0.0,0.0,0.0,0.0,2762.590087890625
137,2018-06-20,0.0,0.0,0.0,0.0,0.0,2767.320068359375
138,2018-06-21,0.0,0.0,0.0,0.0,0.0,2749.760009765625
139,2018-06-22,0.0,0.0,0.0,0.0,0.0,2754.8798828125
140,2018-06-25,0.0,0.0,0.0,0.0,0.0,2717.070068359375
141,2018-06-26,0.0,0.0,0.0,0.0,0.0,2723.06005859375
142,2018-06-27,0.0,0.0,0.0,0.0,0.0,2699.6298828125
143,2018-06-28,0.0,0.0,0.0,0.0,0.0,2716.31005859375
144,2018-06-29,0.0,0.0,0.0,0.0,0.0,2718.3701171875
145,2018-07-02,0.0,0.0,0.0,0.0,0.0,2726.7099609375
146,2018-07-03,0.0,0.0,0.0,0.0,0.0,2713.219970703125
147,2018-07-05,0.0,0.0,0.0,0.0,0.0,2736.610107421875
148,2018-07-06,0.0,0.0,0.0,0.0,0.0,2759.820068359375
149,2018-07-09,0.0,0.0,0.0,0.0,0.0,2784.169921875
150,2018-07-10,0.0,0.0,0.0,0.0,0.0,2793.840087890625
151,2018-07-11,0.0,0.0,0.0,0.0,0.0,2774.02001953125
152,2018-07-12,0.0,0.0,0.0,0.0,0.0,2798.2900390625
153,2018-07-13,0.0,0.0,0.0,0.0,0.0,2801.31005859375
154,2018-07-16,0.0,0.0,0.0,0.0,0.0,2798.429931640625
155,2018-07-17,0.0,0.0,0.0,0.0,0.0,2809.550048828125
156,2018-07-18,0.0,0.0,0.0,0.0,0.0,2815.6201171875
157,2018-07-19,0.0,0.0,0.0,0.0,0.0,2804.489990234375
158,2018-07-20,0.0,0.0,0.0,0.0,0.0,2801.830078125
159,2018-07-23,0.0,0.0,0.0,0.0,0.0,2806.97998046875
160,2018-07-24,0.0,0.0,0.0,0.0,0.0,2820.39990234375
161,2018-07-25,0.0,0.0,0.0,0.0,0.0,2846.070068359375
162,2018-07-26,0.0,0.0,0.0,0.0,0.0,2837.43994140625
163,2018-07-27,0.0,0.0,0.0,0.0,0.0,2818.820068359375
164,2018-07-30,0.0,0.0,0.0,0.0,0.0,2802.60009765625
165,2018-07-31,0.0,0.0,0.0,0.0,0.0,2816.2900390625
166,2018-08-01,0.0,0.0,0.0,0.0,0.0,2813.360107421875
167,2018-08-02,0.0,0.0,0.0,0.0,0.0,2827.219970703125
168,2018-08-03,0.0,0.0,0.0,0.0,0.0,2840.35009765625
169,2018-08-06,0.0,0.0,0.0,0.0,0.0,2850.39990234375
170,2018-08-07,0.0,0.0,0.0,0.0,0.0,2858.449951171875
171,2018-08-08,0.0,0.0,0.0,0.0,0.0,2857.699951171875
172,2018-08-09,0.0,0.0,0.0,0.0,0.0,2853.580078125
173,2018-08-10,0.0,0.0,0.0,0.0,0.0,2833.280029296875
174,2018-08-13,0.0,0.0,0.0,0.0,0.0,2821.929931640625
175,2018-08-14,0.0,0.0,0.0,0.0,0.0,2839.9599609375
176,2018-08-15,0.0,0.0,0.0,0.0,0.0,2818.3701171875
177,2018-08-16,0.0,0.0,0.0,0.0,0.0,2840.68994140625
178,2018-08-17,0.0,0.0,0.0,0.0,0.0,2850.1298828125
179,2018-08-20,0.0,0.0,0.0,0.0,0.0,2857.050048828125
180,2018-08-21,0.0,0.0,0.0,0.0,0.0,2862.9599609375
181,2018-08-22,0.0,0.0,0.0,0.0,0.0,2861.820068359375
182,2018-08-23,0.0,0.0,0.0,0.0,0.0,2856.97998046875
183,2018-08-24,0.0,0.0,0.0,0.0,0.0,2874.68994140625
184,2018-08-27,0.0,0.0,0.0,0.0,0.0,2896.739990234375
185,2018-08-28,0.0,0.0,0.0,0.0,0.0,2897.52001953125
186,2018-08-29,0.0,0.0,0.0,0.0,0.0,2914.0400390625
187,2018-08-30,0.0,0.0,0.0,0.0,0.0,2901.1298828125
188,2018-08-31,0.0,0.0,0.0,0.0,0.0,2901.52001953125
189,2018-09-04,0.0,0.0,0.0,0.0,0.0,2896.719970703125
190,2018-09-05,0.0,0.0,0.0,0.0,0.0,2888.60009765625
191,2018-09-06,0.0,0.0,0.0,0.0,0.0,2878.050048828125
192,2018-09-07,0.0,0.0,0.0,0.0,0.0,2871.679931640625
193,2018-09-10,0.0,0.0,0.0,0.0,0.0,2877.1298828125
194,2018-09-11,0.0,0.0,0.0,0.0,0.0,2887.889892578125
195,2018-09-12,0.0,0.0,0.0,0.0,0.0,2888.919921875
196,2018-09-13,0.0,0.0,0.0,0.0,0.0,2904.179931640625
197,2018-09-14,0.0,0.0,0.0,0.0,0.0,2904.97998046875
198,2018-09-17,0.0,0.0,0.0,0.0,0.0,2888.800048828125
199,2018-09-18,0.0,0.0,0.0,0.0,0.0,2904.31005859375
200,2018-09-19,0.0,0.0,0.0,0.0,0.0,2907.949951171875
201,2018-09-20,0.0,0.0,0.0,0.0,0.0,2930.75
202,2018-09-21,0.0,0.0,0.0,0.0,0.0,2929.669921875
203,2018-09-24,0.0,0.0,0.0,0.0,0.0,2919.3701171875
204,2018-09-25,0.0,0.0,0.0,0.0,0.0,2915.56005859375
205,2018-09-26,0.0,0.0,0.0,0.0,0.0,2905.969970703125
206,2018-09-27,0.0,0.0,0.0,0.0,0.0,2914.0
207,2018-09-28,0.0,0.0,0.0,0.0,0.0,2913.97998046875
208,2018-10-01,0.0,0.0,0.0,0.0,0.0,2924.590087890625
209,2018-10-02,0.0,0.0,0.0,0.0,0.0,2923.429931640625
210,2018-10-03,0.0,0.0,0.0,0.0,0.0,2925.510009765625
211,2018-10-04,0.0,0.0,0.0,0.0,0.0,2901.610107421875
212,2018-10-05,0.0,0.0,0.0,0.0,0.0,2885.570068359375
213,2018-10-08,0.0,0.0,0.0,0.0,0.0,2884.429931640625
214,2018-10-09,0.0,0.0,0.0,0.0,0.0,2880.340087890625
215,2018-10-10,0.0,0.0,0.0,0.0,0.0,2785.679931640625
216,2018-10-11,0.0,0.0,0.0,0.0,0.0,2728.3701171875
217,2018-10-12,0.0,0.0,0.0,0.0,0.0,2767.1298828125
218,2018-10-15,0.0,0.0,0.0,0.0,0.0,2750.7900390625
219,2018-10-16,0.0,0.0,0.0,0.0,0.0,2809.919921875
220,2018-10-17,0.0,0.0,0.0,0.0,0.0,2809.2099609375
221,2018-10-18,0.0,0.0,0.0,0.0,0.0,2768.780029296875
222,2018-10-19,0.0,0.0,0.0,0.0,0.0,2767.780029296875
223,2018-10-22,0.0,0.0,0.0,0.0,0.0,2755.8798828125
224,2018-10-23,0.0,0.0,0.0,0.0,0.0,2740.68994140625
225,2018-10-24,0.0,0.0,0.0,0.0,0.0,2656.10009765625
226,2018-10-25,0.0,0.0,0.0,0.0,0.0,2705.570068359375
227,2018-10-26,0.0,0.0,0.0,0.0,0.0,2658.68994140625
