,Date,BTC-CAD,CEL-CAD,ETH-CAD,IOTX-CAD
397,2020-10-23,16973.615234375,1.7246730327606201,537.8494873046875,0.00834800023585558
398,2020-10-24,17205.314453125,1.7111430168151855,541.3815307617188,0.00928299967199564
399,2020-10-25,17133.712890625,1.761605978012085,534.1052856445312,0.009248999878764153
400,2020-10-26,17267.447265625,1.6865240335464478,520.1771850585938,0.009115000255405903
401,2020-10-27,18012.412109375,1.7465230226516724,532.946044921875,0.008829999715089798
402,2020-10-28,17666.005859375,0.0,517.3505249023438,0.009769000113010406
403,2020-10-29,17893.388671875,0.0,514.9555053710938,0.009630000218749046
404,2020-10-30,18045.322265625,0.0,509.9544982910156,0.00992400012910366
405,2020-10-31,18357.662109375,0.0,514.9769897460938,0.009806999936699867
406,2020-11-01,18364.880859375,0.0,529.8837280273438,0.009906000457704067
407,2020-11-02,17915.12890625,0.0,506.5722961425781,0.009514999575912952
408,2020-11-03,18279.595703125,0.0,507.88946533203125,0.009618000127375126
409,2020-11-04,18553.1484375,0.0,527.886962890625,0.009972999803721905
410,2020-11-05,20383.97265625,0.0,541.7470703125,0.010110000148415565
411,2020-11-06,20332.16796875,0.0,593.9547729492188,0.010529999621212482
412,2020-11-07,19375.865234375,0.0,569.12890625,0.009883999824523926
413,2020-11-08,20159.365234375,0.0,590.6739501953125,0.010289999656379223
414,2020-11-09,19945.732421875,0.0,577.8095092773438,0.009751000441610813
415,2020-11-10,19926.416015625,0.0,586.0022583007812,0.010603000409901142
416,2020-11-11,20504.458984375,0.0,604.5824584960938,0.010741000063717365
417,2020-11-12,21384.4296875,0.0,605.6848754882812,0.010627999901771545
418,2020-11-13,21423.16015625,0.0,623.122802734375,0.010733000002801418
419,2020-11-14,21095.376953125,0.0,604.116943359375,0.010495999827980995
420,2020-11-15,20937.958984375,0.0,587.316162109375,0.009959000162780285
421,2020-11-16,21858.822265625,0.0,601.4409790039062,0.010329999960958958
422,2020-11-17,23126.068359375,0.0,629.5599365234375,0.010172000154852867
423,2020-11-18,23303.57421875,0.0,627.5942993164062,0.009692000225186348
424,2020-11-19,23320.166015625,0.0,617.300537109375,0.009664000011980534
425,2020-11-20,24380.234375,0.0,667.3907470703125,0.009778999723494053
426,2020-11-21,24407.623046875,0.0,719.423583984375,0.010293999686837196
427,2020-11-22,24036.96484375,0.0,730.2265014648438,0.010342000052332878
428,2020-11-23,24010.26171875,0.0,795.5262451171875,0.010582000017166138
429,2020-11-24,24836.837890625,0.0,784.9765014648438,0.01158900000154972
430,2020-11-25,24356.40234375,0.0,742.0341186523438,0.011083000339567661
431,2020-11-26,22332.255859375,0.0,675.5440063476562,0.009748999960720539
432,2020-11-27,22226.46484375,0.0,672.3045043945312,0.009681999683380127
433,2020-11-28,23017.66796875,0.0,699.2439575195312,0.009783999994397163
434,2020-11-29,23600.826171875,0.0,747.538330078125,0.00961500033736229
435,2020-11-30,25498.35546875,0.0,798.8181762695312,0.010402999818325043
436,2020-12-01,24319.798828125,0.0,759.6450805664062,0.009809000417590141
437,2020-12-02,24803.392578125,0.0,772.93359375,0.010301999747753143
438,2020-12-03,25023.0390625,0.0,793.60302734375,0.010161999613046646
439,2020-12-04,23905.966796875,0.0,727.8681030273438,0.009127000346779823
440,2020-12-05,24486.9609375,0.0,762.693603515625,0.009494000114500523
441,2020-12-06,24726.681640625,0.0,769.3522338867188,0.009386000223457813
442,2020-12-07,24572.388671875,0.0,757.7785034179688,0.009205999784171581
443,2020-12-08,23481.021484375,2.9064910411834717,711.086669921875,0.00851999968290329
444,2020-12-09,23800.703125,2.949871063232422,735.6510009765625,0.008976999670267105
445,2020-12-10,23272.466796875,2.823288917541504,713.1182861328125,0.008666000328958035
446,2020-12-11,23059.6484375,2.803618907928467,696.9357299804688,0.008996999822556973
447,2020-12-12,24014.90234375,2.9533369541168213,726.1400756835938,0.009027999825775623
448,2020-12-13,24409.37109375,2.9358739852905273,751.9078979492188,0.009078999981284142
449,2020-12-14,24561.123046875,2.9422240257263184,747.823486328125,0.009456000290811062
450,2020-12-15,24658.501953125,2.869379997253418,748.4456787109375,0.008911999873816967
451,2020-12-16,27166.025390625,3.2414350509643555,810.9829711914062,0.008902999572455883
452,2020-12-17,29036.466796875,3.427738904953003,818.527099609375,0.00862099975347519
453,2020-12-18,29589.865234375,3.5926830768585205,837.4029541015625,0.009258000180125237
454,2020-12-19,30525.814453125,3.773343086242676,843.1398315429688,0.00894199963659048
455,2020-12-20,30075.87109375,3.743665933609009,817.6901245117188,0.00936300028115511
456,2020-12-21,29308.001953125,3.6360650062561035,783.777587890625,0.009285000152885914
457,2020-12-22,30662.86328125,3.9261651039123535,818.5016479492188,0.008956000208854675
458,2020-12-23,29851.392578125,4.031484127044678,749.728271484375,0.007705000229179859
459,2020-12-24,30529.53515625,4.875129222869873,786.6583251953125,0.008520999923348427
460,2020-12-25,31754.68359375,4.902807235717773,806.4724731445312,0.008434999734163284
461,2020-12-26,34036.36328125,4.914955139160156,818.6068115234375,0.008737999945878983
